Class Feature1 Feature2 Feature3 Feature4 Feature5 Feature6
37.732931 414.655810 176.575178 295.480948 1610.904435 0.610008 1.081594
20.790021 169.114163 180.881777 1304.100213 310.205579 0.610398 1.089592
29.376938 298.259199 148.543364 121.884789 279.733946 0.610823 0.966675
26.020335 648.321414 744.784450 685.748075 3477.422422 0.611279 0.837594
28.023058 387.850590 189.048709 823.321368 508.989630 0.613925 0.919863
21.908266 813.554661 83.229063 207.516884 612.941365 0.615230 1.331679
91.106589 479.374467 177.361903 231.805891 1557.942180 0.611261 1.303821
22.023937 479.877431 296.659037 327.249561 711.189981 0.610234 1.215949
13.460668 386.580808 185.132876 1069.376962 4215.542590 0.609421 1.022756
36.286722 411.927414 290.252266 155.566102 823.466414 0.610310 1.047826
16.552952 168.612693 343.721793 529.736663 2425.617013 0.606538 1.025685
19.189326 445.301965 385.360676 737.212943 1065.618450 0.602615 0.906480
32.838041 297.673445 334.689380 843.760874 955.518989 0.596516 0.958079
13.232294 330.152715 164.223976 746.592035 1314.073818 0.586587 0.998272
6.240993 287.135188 80.056273 577.489554 1228.825147 0.582204 1.137135
45.859147 455.492788 444.321752 982.545229 2934.756692 0.575688 0.866170
58.569969 273.322500 462.642522 1555.642656 966.201358 0.575810 1.114205
64.908341 349.790203 536.031107 1145.914669 791.013015 0.573864 1.200224
10.693580 453.960257 382.100560 1179.811634 1289.031554 0.572382 1.159853
35.373059 545.369268 583.076358 983.118154 1548.837540 0.573894 1.079782
60.850310 761.875246 239.241281 730.573572 122.996702 0.574925 1.179373
28.807133 653.579371 666.310761 1684.906327 1779.873440 0.581934 1.117416
40.978550 357.849892 320.662666 905.300209 1418.671026 0.585324 1.129208
22.231843 258.689179 203.338171 659.285928 708.508441 0.585459 1.056388
27.515546 181.233549 268.855290 545.978847 781.116406 0.585438 1.099721
11.618053 318.776737 352.225740 473.409520 533.855693 0.583165 1.134696
44.614076 418.844809 159.463894 408.352330 1261.815552 0.580422 1.161601
20.504037 807.652386 302.841347 334.683856 1065.089397 0.574074 1.221100
67.405774 372.634454 223.739783 453.607346 331.133044 0.567001 1.088251
33.213494 221.173503 102.292299 129.611934 427.174101 0.563507 1.076792
41.004095 624.856695 284.034954 486.615893 2995.879963 0.561393 1.022464
48.593405 644.760214 395.082119 229.806300 2972.530647 0.561716 1.085702
15.357007 303.784076 349.444291 270.423939 434.899768 0.562080 1.167457
24.003026 178.614526 86.837674 989.162698 1415.157704 0.563283 1.032972
14.943623 287.100159 71.865655 251.584513 1086.622451 0.563571 0.915269
48.458597 350.218326 244.201704 288.480232 580.116711 0.565049 1.148111
61.196574 270.418873 373.008259 1055.377287 4887.520926 0.564849 0.759973
33.123708 293.806801 333.287184 838.068451 2412.446433 0.565940 0.898108
37.619366 521.254059 403.004829 616.929749 3026.297923 0.568384 0.920201
29.027647 361.515719 1939.108009 1218.302757 2217.068481 0.575501 1.006036
35.828478 694.774168 995.188123 736.920008 1100.181635 0.577748 0.986781
4.057858 217.325765 152.236655 515.927293 1123.015047 0.585334 0.981602
5.428171 328.787095 332.567399 412.929934 1468.653852 0.591058 0.952742
29.344264 357.551185 661.726874 1877.400372 2582.860066 0.595547 0.936250
11.685461 264.026054 141.095288 469.271335 1417.426452 0.593403 0.971685
58.767588 609.187937 591.789354 415.783506 1888.663417 0.584713 1.032504
24.846223 337.109803 50.879722 471.260470 1097.890011 0.575459 1.192404
21.910476 391.430391 266.073342 476.521802 1099.031485 0.575099 1.069885
51.420537 207.932855 373.640609 561.173482 2547.013305 0.575771 0.800802
13.766800 183.949407 166.499748 575.734230 1182.344470 0.577451 0.927520
17.193197 376.065382 1334.106253 623.957960 797.554263 0.580049 0.794359
12.028323 256.047757 138.263709 329.021640 707.035514 0.584654 0.998411
19.623785 372.663945 298.315822 554.310071 1232.796440 0.586460 0.927950
13.464833 448.539977 361.430016 1728.385104 2422.199843 0.588700 0.783779
5.358597 284.602729 621.901425 1941.964173 1050.185052 0.587981 0.803078
16.985786 238.243429 871.800089 1878.680461 850.795029 0.589101 0.855542
3.549959 178.201393 243.426341 372.332646 1917.752376 0.594767 0.703486
2.628556 61.581857 56.505151 121.537389 343.129585 0.597413 1.061526
15.161563 125.167632 146.148048 432.002521 1210.839107 0.598974 1.028947
4.202566 143.641350 97.142109 251.629514 1203.118575 0.604742 0.828372
9.639226 341.353783 460.961591 653.101601 1025.471037 0.607318 0.919321
9.788668 301.029834 351.145848 491.436737 1424.480133 0.611353 0.874847
18.220213 179.780751 832.186768 894.497506 1807.853349 0.614380 0.780865
27.370070 334.647961 761.518998 690.626408 2419.904925 0.619544 0.918057
18.781865 252.511607 345.703100 1210.225548 1235.091928 0.621096 0.805926
23.035877 232.617609 346.530103 690.737197 1052.557063 0.623653 0.855311
33.063989 154.646455 167.820047 684.565537 774.100009 0.624748 0.837566
20.545754 143.073819 147.442519 148.784236 472.227789 0.631339 1.144245
22.340936 404.349538 389.079477 591.728085 2690.571742 0.631989 1.047813
20.015896 385.861458 225.802166 1185.726905 812.058154 0.623230 1.006111
33.886647 289.067138 159.082864 604.843273 1486.154516 0.620546 0.863459
36.170772 203.417317 397.753546 513.481788 1132.342162 0.621864 1.025303
8.313493 236.933706 120.295260 574.697991 2779.448406 0.621042 0.913519
14.476131 225.389446 368.971100 505.800951 1697.791939 0.622888 0.969827
13.074001 222.702212 154.138353 529.015717 407.356221 0.621938 1.011634
10.073269 184.992897 67.908106 533.414897 587.282408 0.629490 0.895225
43.808085 354.687600 260.800036 1735.134751 2537.876137 0.624503 0.757480
10.484708 244.561895 325.457889 511.356891 1448.155341 0.623167 0.874878
7.121002 223.335586 125.571193 464.387604 894.702782 0.622097 0.843869
7.766448 186.815752 217.646962 713.758890 1454.256715 0.622003 0.781973
21.889462 84.947899 142.012440 716.529731 6045.239661 0.623351 0.573000
11.671010 132.631576 312.548138 776.412180 2176.066877 0.624040 0.681942
2.166347 144.958183 652.452653 721.674425 2502.846455 0.628910 0.812380
19.668353 309.869304 391.107213 472.349707 345.799076 0.623419 1.095209
7.182642 111.886445 120.436058 552.713025 914.828425 0.614103 1.041804
39.466280 382.821730 197.675683 444.037137 486.421660 0.596127 1.274213
12.840553 354.479198 438.502504 530.151013 1227.935026 0.581248 1.092395
84.089839 398.670293 154.048398 774.895809 1648.776252 0.578281 1.023111
17.229335 363.733232 211.022885 409.223500 1006.635278 0.572409 1.041375
18.276919 508.560430 280.347464 243.553351 1396.786543 0.567605 1.078718
25.565636 408.738173 306.756466 828.896763 1447.327596 0.560019 1.037954
19.819604 253.169464 120.059315 274.188017 263.818846 0.556583 1.212888
114.995659 258.929780 75.168095 193.585814 341.703525 0.553056 1.256101
11.486136 266.498646 264.385504 487.709827 3292.090542 0.551048 0.861818
10.641859 392.591201 956.273475 735.016959 1735.230115 0.545155 0.889642
11.127082 342.184360 387.493821 393.426325 362.655595 0.540478 0.937424
26.659146 347.139560 212.776484 687.382538 963.756094 0.539467 1.090541
25.504492 132.024878 185.227137 1114.744671 1428.797788 0.539915 0.732939
31.956154 419.297279 291.085220 435.930387 1069.346509 0.546834 0.967561
14.742088 250.547226 154.963917 1182.271475 817.637317 0.543964 0.898262
15.633781 197.928212 81.865863 293.873229 1028.391527 0.541279 1.049953
10.568181 153.354091 33.737789 114.588324 440.763472 0.539580 0.993088
33.956566 190.662686 330.345599 763.843815 2169.619957 0.544376 0.897683
24.191256 517.732617 757.509829 990.526924 3869.673905 0.542668 0.732793
40.710483 425.540531 224.252706 722.070309 2338.544117 0.540438 0.831580
8.644164 335.787341 588.769391 1512.799460 567.211697 0.535881 0.906695
13.483496 173.023095 691.854105 732.830941 1956.692466 0.535502 0.762487
9.381557 228.142865 226.314717 982.470902 592.301362 0.534016 0.803201
29.305547 211.885174 102.408870 454.256823 489.092710 0.540339 1.165710
43.441392 257.680936 316.914903 461.081717 1418.845068 0.534294 1.070005
40.177831 327.364296 476.323747 1638.919826 3932.707483 0.530867 0.956407
66.124275 100.226865 200.710682 431.404084 502.604708 0.525657 1.060098
19.231861 481.175717 273.763376 1196.448766 1375.371750 0.520541 1.035268
28.889312 412.286861 209.602418 126.635918 2182.343918 0.518694 0.781036
41.810837 177.381939 413.198978 791.362233 329.005696 0.513093 0.814430
16.514929 284.557850 872.931797 633.599403 207.628160 0.511625 0.858133
6.639728 142.832936 115.103740 377.109923 702.259615 0.510936 1.051386
46.302628 944.031651 153.270651 595.019597 1413.241788 0.509097 1.050995
55.041133 384.352534 245.057149 815.464881 236.137346 0.503752 1.006904
26.994492 276.061803 228.425828 645.862895 1296.819119 0.504182 1.040352
30.773096 297.205231 514.101411 181.621207 1371.062601 0.510849 0.933802
22.347923 147.086190 95.113716 231.619982 356.537286 0.510128 0.862767
53.239704 154.952533 48.567313 213.115610 381.543553 0.507296 0.899653
3.192815 33.189073 63.658293 54.183868 255.870695 0.510845 0.817576
9.791215 207.207061 174.770033 422.758364 1676.869317 0.511699 0.874180
13.875154 119.052177 53.109164 821.367348 1917.080992 0.514180 0.630142
25.344147 334.321782 292.042074 1073.495631 1060.963406 0.510689 0.736861
17.255126 233.735251 190.626762 373.193864 2821.811047 0.506200 1.157602
15.524100 545.354436 265.974638 628.446156 359.752729 0.502119 1.147281
13.595884 289.855924 509.108342 522.985441 4806.116493 0.501742 0.778409
35.348796 147.518753 321.405666 528.173791 1886.098256 0.497948 0.796353
11.306328 298.710656 108.932063 131.307970 562.496008 0.500060 1.052834
7.113888 194.379642 39.032330 121.293232 444.951995 0.497994 1.421531
45.641238 455.322554 395.043910 153.435362 731.823736 0.496922 1.487548
30.957364 321.766125 70.916126 351.866394 582.985468 0.503942 1.360398
6.378548 230.321596 512.410971 1008.130899 2368.156939 0.503795 1.019219
70.394827 261.965075 1027.045769 1595.949341 1906.259865 0.500437 0.915520
9.953480 104.989384 107.572647 168.296658 1156.230821 0.495275 1.095770
61.796505 617.402671 444.591241 98.589850 538.394581 0.495008 1.349092
18.033853 473.325976 1240.371348 627.094688 1633.759016 0.500049 0.807009
10.623528 336.526403 281.213725 448.298647 199.398794 0.502957 0.949154
9.810818 257.736061 233.514436 520.427712 744.771889 0.498713 1.137525
57.073094 222.451142 135.215051 670.376822 604.143416 0.495410 1.007300
93.119973 324.746623 24.822656 290.732158 571.713975 0.492938 0.867523
5.406456 131.627873 307.849790 434.937904 1267.319762 0.487349 0.620440
2.859129 143.231896 246.738433 1218.503120 2978.593828 0.481215 0.610349
7.388715 301.623293 113.997309 290.297375 609.024624 0.478316 1.119053
33.547740 249.878909 489.224087 392.424095 417.254139 0.474421 1.126220
5.101119 287.076047 186.326362 205.670236 178.447544 0.463853 1.138476
18.948802 145.921508 315.437595 698.989915 316.639498 0.458481 0.780028
8.374255 154.748793 394.094684 335.722084 469.442190 0.452579 0.798765
12.885696 121.112658 88.270639 147.509973 582.513462 0.449222 0.983557
8.402879 154.864857 193.492878 328.377198 1130.087404 0.441092 0.772893
15.373961 185.742937 144.259644 74.144771 455.671138 0.436826 1.105732
4.927661 212.408319 114.053486 155.067817 695.394614 0.432879 0.937675
10.369905 172.836356 84.188115 690.689158 230.271061 0.430387 1.087538
13.209768 296.557622 57.698577 131.721203 306.577911 0.425902 1.380219
18.596271 335.869170 309.578164 1024.167707 984.426492 0.419975 1.201801
39.385879 428.995427 861.934787 1457.404567 3360.150326 0.416541 0.900201
39.562333 477.475638 791.561998 919.173615 1558.559863 0.415196 0.948138
20.641993 197.687219 353.572317 847.835472 1820.669969 0.412201 1.102403
55.479404 552.439650 1371.558541 1410.455600 3649.931538 0.409893 0.813364
17.045171 378.887604 427.662337 347.709760 2456.950635 0.410031 0.831414
5.407621 334.949061 344.784986 648.445496 1495.317212 0.403397 0.742208
13.111874 158.037817 185.416477 262.637864 1319.574323 0.399529 1.000620
18.868991 283.855389 356.843580 822.478708 1417.314742 0.393007 0.763406
3.355907 212.151569 209.737519 593.841362 2035.745340 0.390788 0.706864
22.833745 358.505551 1017.778592 1683.656005 1221.465008 0.393462 0.646515
9.086252 204.907252 648.666222 680.552197 427.803800 0.401122 0.782340
10.224900 123.790440 134.726110 192.559696 761.991881 0.402162 0.934166
16.735298 198.324273 213.856789 306.160982 1062.488989 0.404404 1.095851
30.409534 96.298139 222.725061 235.841306 308.607729 0.401848 0.881116
20.089723 83.462261 184.086564 721.105367 910.540996 0.401054 0.636718
27.033818 162.683998 134.793726 412.152174 739.557876 0.395654 0.692197
51.195076 267.312211 203.949849 131.064698 412.143285 0.395316 1.002257
5.043596 282.963304 275.027425 921.056875 1181.769936 0.397907 0.807452
14.193518 243.698913 44.682751 158.912006 942.581356 0.400420 0.809548
68.698153 222.646884 137.487116 332.898869 1580.748768 0.403640 0.927553
27.186589 176.233677 293.050765 1075.647281 510.382001 0.400044 0.951766
7.511662 250.017329 53.979328 752.902935 615.721475 0.399222 0.800351
3.735714 153.286127 126.143824 116.210650 725.365874 0.395385 1.031023
25.580063 185.298531 126.403460 977.207382 2320.707924 0.400631 0.819261
25.736641 404.370953 128.720980 314.811857 1009.711153 0.393659 1.224491
40.510795 443.785779 366.516793 500.537954 3288.850379 0.397810 0.829212
36.707854 321.054986 367.687196 722.368667 2017.630613 0.397773 0.920517
7.886631 281.892316 484.860897 826.743903 985.465925 0.398923 1.043982
0.188551 313.295191 348.137807 1765.819584 1018.273289 0.397895 0.960594
174.763236 622.510887 278.009886 201.505333 652.906616 0.395957 1.468441
150.973995 961.691583 213.511891 633.646394 2047.399173 0.402980 1.118117
75.010513 1472.476692 314.487650 1541.363154 1251.629318 0.402605 1.250247
18.419566 219.816228 93.747624 109.821187 1362.370460 0.403477 1.351954
7.386068 153.873354 98.629746 131.393045 570.674938 0.399514 0.881458
12.472745 134.165151 349.451710 953.124038 984.796966 0.398904 0.866764
8.555797 176.655031 91.456321 2108.373743 1310.750285 0.401316 0.672187
12.457743 251.517027 421.506128 460.107790 2170.223000 0.400767 0.841780
7.195338 99.381642 320.624930 800.201754 701.683531 0.398877 0.719708
14.208354 159.344397 190.360395 612.425896 629.907740 0.396029 0.763266
12.272158 237.102144 337.354281 612.520849 2940.910911 0.395726 0.700655
12.990826 112.205350 304.628743 816.194041 1055.766562 0.394106 0.693979
6.097571 68.332525 64.479922 228.306937 473.952793 0.394280 0.909786
13.271724 134.694357 112.933990 155.934102 704.121579 0.400789 1.043841
9.141272 62.203396 98.143463 217.438735 472.816112 0.409920 0.974346
9.008427 253.437524 74.111297 44.456213 1029.711197 0.409490 0.879536
11.904161 273.923864 623.751558 702.378844 1798.618856 0.410325 0.812006
28.126607 476.902650 236.117874 1622.465938 749.205068 0.418460 0.916685
141.307417 738.839249 225.995403 189.672888 660.619944 0.423045 1.059720
17.288267 202.909700 249.341358 464.732768 3609.901316 0.425678 0.894790
50.254969 623.208601 168.719330 206.487215 1596.772728 0.427935 1.394559
32.116604 229.689193 271.063037 1297.865898 2919.334443 0.429414 0.770928
9.760076 166.422998 157.050491 583.038017 941.669186 0.431004 0.821272
16.631687 208.681196 194.957710 566.840353 1996.421738 0.431364 0.849321
12.565858 226.119933 500.474611 445.619941 2660.400475 0.431277 0.657629
40.079072 209.579265 271.688746 252.546766 704.851357 0.432905 0.870884
52.733365 246.880226 429.756169 867.899646 333.265111 0.439679 1.276163
63.468605 198.449054 371.344056 386.450831 1595.735298 0.452227 0.972814
18.918073 282.340008 249.314662 1007.810985 1206.318061 0.453296 0.739409
18.283870 231.739388 425.341017 788.386028 2736.899735 0.456020 0.679072
28.332117 205.655374 104.468170 315.156438 553.601236 0.461872 1.180883
19.318896 226.124613 167.233297 509.133460 497.728444 0.468296 0.925113
39.371703 210.439950 595.149773 454.238074 1068.748881 0.476986 0.900977
29.578207 331.908029 161.839115 394.678773 2225.487485 0.481876 0.979730
20.802095 203.470828 187.581428 476.351288 1244.500667 0.486386 0.953114
34.904958 161.082431 237.380570 481.195103 1203.846237 0.493427 0.948143
80.771873 360.212003 376.206765 199.073061 1645.752822 0.500659 0.966951
34.412898 184.611137 188.018777 349.881732 678.685487 0.513692 1.106056
49.327379 259.850875 392.451264 220.948424 2186.504256 0.527976 0.814049
7.967815 190.662056 343.863698 202.868839 2198.043570 0.535800 0.778831
2.381784 249.769494 295.333609 775.544002 2609.893643 0.543368 0.930052
28.496002 302.637198 88.319454 356.643881 1315.062976 0.559167 1.079421
